Date,AAPL,AMZN,BND,COST,DIS,GLD,GOOGL,JNJ,JPM,MSFT,NEE,NVDA,PG,TSM,UNH,VB,VNQ,VOO,VTI,VXUS,XOM
2016-09-02,24.636302947998047,38.62200164794922,62.529541015625,133.4562530517578,86.9959945678711,126.56999969482422,39.49330520629883,90.9120864868164,51.8943977355957,51.209075927734375,23.838069915771484,1.5357552766799927,67.17003631591797,23.166929244995117,115.83032989501953,106.51983642578125,60.217769622802734,169.85018920898438,95.53453063964844,35.388545989990234,56.75397872924805
2016-09-06,24.629440307617188,39.44350051879883,62.71550750732422,133.52383422851562,86.42475128173828,128.7100067138672,40.04590606689453,91.23973083496094,51.85595703125,51.15580749511719,24.25625228881836,1.5502458810806274,67.50517272949219,23.445188522338867,115.28761291503906,106.66642761230469,60.68190383911133,170.38418579101562,95.80681610107422,35.75330352783203,57.500587463378906
2016-09-07,24.780376434326172,39.2239990234375,62.722999572753906,131.47952270507812,86.34182739257812,128.27000427246094,40.04440689086914,91.13306427001953,51.64067077636719,51.2001953125,24.211719512939453,1.5274049043655396,66.97967529296875,23.707548141479492,114.98523712158203,107.11483764648438,61.0451545715332,170.37571716308594,95.93444061279297,35.797950744628906,57.286338806152344
2016-09-08,24.13090705871582,39.202999114990234,62.484920501708984,129.64637756347656,86.69194030761719,127.58999633789062,39.78917694091797,91.02639770507812,51.709861755371094,50.995948791503906,24.273672103881836,1.538456678390503,66.85018157958984,23.683696746826172,115.36856079101562,106.83026123046875,60.298484802246094,169.97732543945312,95.68765258789062,35.74585723876953,57.81219482421875
2016-09-09,23.584346771240234,38.00699996948242,62.209571838378906,127.30638122558594,85.15324401855469,126.75,39.07749557495117,90.08162689208984,51.248512268066406,49.91264343261719,23.39859962463379,1.461828589439392,65.6773681640625,22.72966957092285,113.81829071044922,103.53604888916016,57.91049575805664,165.8745880126953,93.30526733398438,34.9493522644043,56.37743377685547
2016-09-12,24.11261558532715,38.574501037597656,62.231910705566406,128.14273071289062,86.27732849121094,126.58999633789062,39.58995056152344,90.79019165039062,51.563751220703125,50.65854263305664,23.869049072265625,1.4920375347137451,67.2081527709961,23.04767608642578,115.44525146484375,104.85545349121094,58.59662628173828,168.24801635742188,94.60711669921875,35.239662170410156,56.66960525512695
2016-09-13,24.686614990234375,38.050498962402344,62.0533447265625,127.34011840820312,85.4112319946289,125.75,39.08938217163086,89.6092300415039,51.15623092651367,50.19679260253906,23.530248641967773,1.4704248905181885,66.29426574707031,22.65016746520996,114.09939575195312,102.88064575195312,57.12546920776367,165.8494415283203,93.1270980834961,34.374141693115234,55.319244384765625
2016-09-14,25.560195922851562,38.054500579833984,62.13516616821289,127.29793548583984,85.00582885742188,126.18000030517578,39.17561721801758,89.7997055053711,51.0562858581543,49.957035064697266,23.63866424560547,1.4834418296813965,66.2637939453125,22.753520965576172,113.87789916992188,102.78577423095703,57.308353424072266,165.74729919433594,93.13565063476562,34.40408706665039,54.9232177734375
2016-09-15,26.429197311401367,38.484500885009766,62.18730545043945,128.97056579589844,85.2269515991211,125.37000274658203,39.70939254760742,90.38639068603516,51.240806579589844,50.782840728759766,23.760635375976562,1.5396851301193237,67.06341552734375,23.198732376098633,115.51336669921875,103.91548919677734,57.525108337402344,167.4501953125,94.09324645996094,34.74102783203125,55.23484802246094
2016-09-16,26.280550003051758,38.92599868774414,62.23934555053711,128.70022583007812,85.28224182128906,125.05999755859375,39.54781723022461,90.09687805175781,50.61031723022461,50.836116790771484,23.874858856201172,1.543368935585022,67.0558090209961,22.98408317565918,117.94953918457031,103.51878356933594,57.552181243896484,166.7946014404297,93.71704864501953,34.374141693115234,54.553165435791016
2016-09-19,25.97411346435547,38.755001068115234,62.19475173950195,128.2271728515625,85.34673309326172,125.31999969482422,39.419952392578125,89.6473159790039,50.894798278808594,50.551971435546875,24.14976692199707,1.5637544393539429,67.29950714111328,23.794998168945312,117.27657318115234,104.19142150878906,58.073726654052734,166.84564208984375,93.85385131835938,34.60624313354492,54.42332458496094
2016-09-20,25.971830368041992,39.01100158691406,62.209571838378906,128.5481719970703,85.64157104492188,125.44000244140625,39.63752746582031,89.86829376220703,51.102413177490234,50.445411682128906,24.21365737915039,1.5495091676712036,67.45941925048828,23.771150588989258,117.09773254394531,103.8032455444336,57.98569107055664,166.8627166748047,93.81107330322266,34.71106719970703,53.585838317871094
2016-09-21,25.96725082397461,39.48699951171875,62.388153076171875,128.99586486816406,85.1256103515625,127.2699966430664,39.89772033691406,90.59973907470703,51.39459228515625,51.28899383544922,24.749935150146484,1.592980980873108,66.86541748046875,24.2481632232666,119.1761703491211,105.25028228759766,58.73073196411133,168.73597717285156,94.88839721679688,35.39241409301758,54.07923889160156
2016-09-22,26.211946487426758,40.23500061035156,62.51466369628906,129.3760528564453,86.06542205810547,127.56999969482422,40.43891906738281,91.01880645751953,51.8175163269043,51.34226608276367,24.786718368530273,1.5969107151031494,67.77167510986328,24.375364303588867,120.1386489868164,106.64527893066406,59.78058624267578,169.74913024902344,95.58094787597656,35.74430847167969,54.235069274902344
2016-09-23,25.775156021118164,40.287498474121094,62.499759674072266,128.85231018066406,85.93641662597656,127.6500015258789,40.38985061645508,90.5235366821289,51.709861755371094,50.995948791503906,24.538909912109375,1.595191240310669,66.8349838256836,23.94605255126953,119.68720245361328,105.86544036865234,59.96345520019531,168.838134765625,95.03375244140625,35.369956970214844,54.1766242980957
2016-09-26,25.814027786254883,39.95800018310547,62.603939056396484,127.72030639648438,84.72942352294922,127.55000305175781,39.779762268066406,89.73876190185547,50.579551696777344,50.52533721923828,24.4382381439209,1.5802093744277954,66.90350341796875,23.723445892333984,119.0142822265625,105.09429931640625,60.105709075927734,167.49282836914062,94.28137969970703,35.040504455566406,53.92344284057617
2016-09-27,25.862058639526367,40.80550003051758,62.67832565307617,127.09517669677734,84.50830841064453,126.62000274658203,40.18021011352539,90.83594512939453,51.0255241394043,51.45771408081055,24.546648025512695,1.6342417001724243,67.2918930053711,24.168664932250977,119.92572784423828,105.31089782714844,59.469017028808594,168.51454162597656,94.81999206542969,35.257633209228516,54.04027557373047
2016-09-28,26.05872917175293,41.43600082397461,62.67832565307617,126.21664428710938,84.95055389404297,126.22000122070312,40.147003173828125,90.96544647216797,51.29463195800781,51.52875518798828,24.486637115478516,1.64013671875,68.12960052490234,24.113008499145508,119.6020278930664,106.2293472290039,59.95669174194336,169.42564392089844,95.37574005126953,35.564613342285156,56.4163932800293
2016-09-29,25.653953552246094,41.45249938964844,62.685813903808594,124.59463500976562,84.5820083618164,126.06999969482422,39.779266357421875,89.35018920898438,50.479583740234375,50.969322204589844,23.94842529296875,1.65536367893219,67.1928939819336,24.168664932250977,117.8217544555664,104.99899291992188,59.15746307373047,167.83335876464844,94.44377899169922,35.160308837890625,56.1307373046875
2016-09-30,25.852914810180664,41.865501403808594,62.603939056396484,128.83538818359375,85.55865478515625,125.63999938964844,39.849639892578125,90.00543212890625,51.20236587524414,51.14692687988281,23.681255340576172,1.6828715801239014,68.35047149658203,24.319713592529297,119.2527847290039,105.86544036865234,58.75106430053711,169.17872619628906,95.18766021728516,35.347476959228516,56.66311264038086
2016-10-03,25.73170280456543,41.83700180053711,62.53761672973633,127.56824493408203,85.21773529052734,125.31999969482422,39.66726303100586,90.5235366821289,51.14085388183594,50.98707962036133,23.45087432861328,1.68115234375,67.5203857421875,24.42306900024414,117.96661376953125,105.29357147216797,57.65378189086914,168.64222717285156,94.89695739746094,35.325035095214844,56.513771057128906
2016-10-04,25.841476440429688,41.701499938964844,62.32883071899414,127.1205062866211,85.30987548828125,120.97000122070312,39.78670120239258,90.53116607666016,51.58232498168945,50.8272590637207,23.019134521484375,1.677468180656433,67.28427124023438,24.160715103149414,117.68550872802734,104.67838287353516,56.86811065673828,167.8589630126953,94.46942901611328,35.19773483276367,55.99440002441406
2016-10-05,25.852914810180664,42.21799850463867,62.224491119384766,126.6981430053711,85.18089294433594,120.77999877929688,39.70939254760742,90.80545043945312,52.42654800415039,51.18244171142578,22.949447631835938,1.6757489442825317,67.66507720947266,24.272018432617188,117.20844268798828,105.2415771484375,55.71664047241211,168.55712890625,94.83710479736328,35.45231246948242,56.48131561279297
2016-10-06,26.04500389099121,42.08300018310547,62.2021484375,126.26728820800781,85.53101348876953,119.66000366210938,39.80107498168945,90.47785186767578,52.565948486328125,51.2712287902832,22.8507080078125,1.6538902521133423,67.94683837890625,24.46282196044922,116.24586486816406,105.20693969726562,55.73697280883789,168.75296020507812,94.87129974365234,35.30256271362305,56.507286071777344
2016-10-07,26.083885192871094,41.971500396728516,62.254295349121094,126.70661926269531,85.21773529052734,119.73999786376953,39.683616638183594,90.85116577148438,52.75183868408203,51.32450485229492,23.568967819213867,1.641855239868164,68.54087829589844,24.788785934448242,116.40776062011719,104.40110778808594,55.642154693603516,168.1313934326172,94.51219940185547,35.077945709228516,56.31251907348633
2016-10-10,26.53897476196289,42.08549880981445,62.187252044677734,126.95149230957031,85.21773529052734,120.16000366210938,40.35070037841797,91.27782440185547,53.16232681274414,51.537620544433594,23.770309448242188,1.647995948791504,67.82498931884766,24.868282318115234,117.6173095703125,105.4062271118164,55.98756408691406,168.90621948242188,95.02520751953125,35.23517608642578,57.416175842285156
2016-10-11,26.59613609313965,41.54999923706055,62.0903434753418,127.56824493408203,84.63726806640625,119.55000305175781,40.12272644042969,89.63208770751953,52.906742095947266,50.782840728759766,23.454740524291992,1.6241722106933594,67.42897033691406,24.431018829345703,114.7807846069336,103.68194580078125,55.44571304321289,166.85423278808594,93.75977325439453,34.68111801147461,56.96174621582031
2016-10-12,26.833969116210938,41.704498291015625,62.12760543823242,127.1036376953125,84.22265625,119.73999786376953,40.23176193237305,89.8835220336914,52.767333984375,50.711814880371094,23.80903434753418,1.6315405368804932,67.45183563232422,24.923933029174805,115.07894134521484,103.77722930908203,56.08240509033203,167.06704711914062,93.87094116210938,34.63619613647461,56.56572341918945
2016-10-13,26.751646041870117,41.4640007019043,62.2021484375,126.9009017944336,83.9554672241211,120.02999877929688,39.85063552856445,90.10450744628906,52.465274810791016,50.5430908203125,24.128475189208984,1.6050153970718384,67.20051574707031,24.272018432617188,114.3038101196289,103.21406555175781,56.52266311645508,166.53065490722656,93.53749084472656,34.49392318725586,56.1956787109375
2016-10-14,26.90028953552246,41.14799880981445,62.075416564941406,126.84171295166016,84.1213150024414,119.36000061035156,39.876407623291016,89.57115173339844,52.29487228393555,50.98707962036133,24.012317657470703,1.6207339763641357,67.34520721435547,24.375364303588867,114.07377624511719,102.95411682128906,56.27204132080078,166.57325744628906,93.5118179321289,34.5538444519043,56.18269348144531
2016-10-17,26.881996154785156,40.647499084472656,62.2095947265625,125.6167984008789,83.68826293945312,119.68000030517578,39.987422943115234,90.27974700927734,52.023807525634766,50.80949020385742,24.01811981201172,1.611400842666626,66.8882827758789,24.303815841674805,114.25270080566406,102.77214813232422,56.39399337768555,166.07937622070312,93.24678039550781,34.486446380615234,56.18269348144531
2016-10-18,26.86370086669922,40.88249969482422,62.291603088378906,125.96318054199219,84.00154113769531,120.41999816894531,40.71348190307617,87.93302917480469,52.434288024902344,51.2001953125,24.221397399902344,1.6359614133834839,66.598876953125,24.53437042236328,122.14041900634766,103.37001037597656,56.75296401977539,167.0585174560547,93.79398345947266,34.89825439453125,56.332000732421875
2016-10-19,26.783660888671875,40.884498596191406,62.33633804321289,126.2503890991211,84.7017822265625,121.11000061035156,40.97863006591797,87.30823516845703,52.93770980834961,51.084754943847656,24.118791580200195,1.6325228214263916,65.64723205566406,24.629772186279297,122.97515106201172,103.8119125366211,56.8748779296875,167.51832580566406,94.09324645996094,35.018043518066406,56.59169006347656
2016-10-20,26.76995086669922,40.51599884033203,62.29903030395508,126.74879455566406,84.79391479492188,120.73999786376953,40.720428466796875,87.52159881591797,52.86802291870117,50.836116790771484,24.03167152404785,1.6634689569473267,65.17910766601562,24.693378448486328,123.57144927978516,103.48265075683594,56.746192932128906,167.24583435058594,93.91370391845703,35.00307083129883,56.617645263671875
2016-10-21,26.66474151611328,40.949501037597656,62.35123062133789,125.8449478149414,85.71529388427734,120.83000183105469,40.840858459472656,86.43203735351562,53.046142578125,52.97612762451172,23.95036506652832,1.65880286693573,64.7186508178711,24.709278106689453,123.82698059082031,103.35267639160156,56.53620147705078,167.2884521484375,93.8794937133789,34.95815658569336,56.234615325927734
2016-10-24,26.904869079589844,41.90449905395508,62.26178741455078,128.5059814453125,86.02855682373047,120.55999755859375,41.41971969604492,86.56153869628906,53.340457916259766,54.16600799560547,24.080074310302734,1.7366584539413452,64.54212188720703,24.971635818481445,123.24776458740234,103.84657287597656,56.664894104003906,167.96963500976562,94.34974670410156,34.99558639526367,56.42289733886719
2016-10-25,27.04207992553711,41.75899887084961,62.26178741455078,127.55136108398438,85.45730590820312,121.47000122070312,41.063385009765625,86.82823181152344,53.2862548828125,54.15713119506836,24.300777435302734,1.765148639678955,66.74468994140625,25.08293914794922,122.47259521484375,102.99744415283203,56.56332778930664,167.49282836914062,93.94790649414062,34.95815658569336,56.2995491027832
2016-10-26,26.433774948120117,41.12950134277344,62.14995193481445,127.54293060302734,86.13912200927734,120.79000091552734,40.743717193603516,87.285400390625,53.54182052612305,53.83745574951172,24.43242073059082,1.772270917892456,67.07470703125,24.812631607055664,121.15231323242188,102.31291961669922,55.82501983642578,167.11810302734375,93.66574096679688,34.76347732543945,56.539756774902344
2016-10-27,26.179935455322266,40.917999267578125,61.978511810302734,127.44152069091797,86.62743377685547,121.01000213623047,40.50830078125,88.15397644042969,53.61928939819336,53.366825103759766,24.223339080810547,1.7359219789505005,66.4454116821289,24.46282196044922,120.90533447265625,101.16915130615234,54.361995697021484,166.67538452148438,93.3493881225586,34.68111801147461,56.42936706542969
2016-10-28,26.006132125854492,38.816001892089844,61.94867706298828,126.51226806640625,86.47081756591797,121.58000183105469,40.617835998535156,87.87208557128906,53.5263557434082,53.162593841552734,24.3414363861084,1.7329742908477783,66.64492797851562,24.46282196044922,119.55093383789062,101.09986114501953,54.490692138671875,166.14747619628906,93.04159545898438,34.643672943115234,55.04007339477539
2016-10-31,25.964967727661133,39.49100112915039,62.01576232910156,124.9156265258789,85.40202331542969,121.94000244140625,40.139076232910156,88.37490844726562,53.642547607421875,53.20698928833008,24.780914306640625,1.7477105855941772,66.61424255371094,24.725177764892578,120.38568115234375,101.5677490234375,55.37799835205078,166.14747619628906,93.1014404296875,34.67362976074219,54.09223175048828
2016-11-01,25.49616050720215,39.27050018310547,61.99562072753906,123.89350128173828,85.1256103515625,122.7300033569336,39.920021057128906,87.87969207763672,53.41791534423828,53.100440979003906,24.372411727905273,1.6958882808685303,66.65258026123047,24.415117263793945,118.76725769042969,100.40665435791016,54.17234420776367,164.98947143554688,92.40888214111328,34.53886032104492,54.30645751953125
2016-11-02,25.519027709960938,38.27799987792969,62.055362701416016,123.9443359375,84.683349609375,123.63999938964844,39.07452392578125,87.51396942138672,53.19330978393555,52.77188491821289,23.944549560546875,1.6887658834457397,66.56816864013672,24.160715103149414,118.38399505615234,99.2802734375,53.3798828125,163.89962768554688,91.76764678955078,34.24684524536133,54.1766242980957
2016-11-03,25.245498657226562,38.35150146484375,62.01800537109375,122.40213775634766,86.02855682373047,124.30000305175781,38.7657585144043,87.64347839355469,52.9609375,52.57654571533203,23.975528717041016,1.6691182851791382,66.46075439453125,24.073253631591797,117.40438842773438,98.92501831054688,52.966712951660156,163.26100158691406,91.36576080322266,34.2169075012207,54.31296157836914
2016-11-04,25.017940521240234,37.752498626708984,62.13004684448242,120.52946472167969,85.18089294433594,124.38999938964844,38.711734771728516,87.7044448852539,52.480751037597656,52.13255310058594,23.847753524780273,1.6595391035079956,65.29424285888672,24.041460037231445,117.30218505859375,99.2889404296875,53.386653900146484,163.03961181640625,91.30591583251953,33.8874626159668,54.25454330444336
2016-11-07,25.378812789916992,39.246498107910156,62.04789733886719,121.63107299804688,87.00521850585938,122.1500015258789,39.74903869628906,88.88541412353516,54.122711181640625,53.65096664428711,24.134281158447266,1.7504125833511353,66.43003845214844,24.923933029174805,120.89678192138672,101.46378326416016,54.32137680053711,166.6157989501953,93.32374572753906,34.5313720703125,55.47502136230469
2016-11-08,25.528228759765625,39.38750076293945,61.935882568359375,123.79183197021484,86.95913696289062,121.63999938964844,40.242164611816406,89.18254852294922,54.238887786865234,53.69538116455078,24.233015060424805,1.7477105855941772,67.12074279785156,24.91598892211914,121.72299194335938,101.7410659790039,54.60584259033203,167.38206481933594,93.72559356689453,34.643672943115234,55.87458419799805
2016-11-09,25.486852645874023,38.59400177001953,61.3233528137207,124.38497924804688,87.19869232177734,121.55999755859375,39.92546844482422,91.66639709472656,56.73280334472656,53.428993225097656,22.746158599853516,1.718238353729248,65.94654083251953,24.319713592529297,120.87120819091797,104.01119995117188,53.77949523925781,169.17019653320312,94.88839721679688,34.41158676147461,56.4902229309082
2016-11-10,24.776582717895508,37.11899948120117,61.06198501586914,124.30867004394531,87.49352264404297,119.75,38.67158889770508,91.07975006103516,59.366146087646484,52.123695373535156,22.275711059570312,1.664451241493225,63.66722106933594,23.405441284179688,124.474365234375,104.7563705444336,52.878665924072266,169.5618896484375,95.22185516357422,34.18696975708008,57.014190673828125
2016-11-11,24.92369270324707,36.95050048828125,60.949893951416016,126.56272888183594,89.99967956542969,117.0999984741211,38.24834442138672,90.26448822021484,59.397125244140625,52.407833099365234,21.98143768310547,2.160568952560425,64.14305114746094,23.794998168945312,124.72136688232422,106.2640151977539,53.1970100402832,169.24685668945312,95.25601959228516,33.83505630493164,56.110355377197266
2016-11-14,24.298473358154297,35.95349884033203,60.71833419799805,128.79974365234375,90.22079467773438,116.11000061035156,37.329986572265625,88.83970642089844,61.581241607666016,51.6086540222168,22.155675888061523,2.054222822189331,63.69793701171875,22.93638038635254,129.71298217773438,107.89298248291016,54.45683288574219,169.27239990234375,95.50401306152344,33.625404357910156,55.85491943359375
2016-11-15,24.620277404785156,37.1619987487793,60.80050277709961,128.0795135498047,90.0180892944336,117.12000274658203,38.41734313964844,88.6263656616211,61.46506881713867,52.627769470214844,22.269908905029297,2.116852283477783,64.17375946044922,23.214635848999023,129.6703338623047,108.3955307006836,54.00300979614258,170.6432342529297,96.24784851074219,33.95485305786133,56.86355972290039
2016-11-16,25.282276153564453,37.324501037597656,60.92747116088867,128.91844177246094,91.3264389038086,116.7699966430664,38.65622329711914,88.65684509277344,59.947044372558594,53.325069427490234,22.12664222717285,2.250460147857666,63.843753814697266,23.739347457885742,129.04855346679688,108.30021667480469,53.84722137451172,170.35372924804688,96.11106872558594,33.602943420410156,56.16276168823242
2016-11-17,25.273073196411133,37.81999969482422,60.680992126464844,128.12191772460938,91.55680084228516,116.16999816894531,38.96250534057617,88.81685638427734,60.42720031738281,54.21010208129883,22.221511840820312,2.2691259384155273,63.75163269042969,23.429292678833008,128.42669677734375,108.88076782226562,53.298606872558594,171.16261291503906,96.59840393066406,33.812599182128906,55.82215881347656
2016-11-18,25.298368453979492,38.007999420166016,60.53162384033203,127.41008758544922,90.51564025878906,115.1500015258789,38.45748519897461,88.50231170654297,60.18710708618164,53.95084762573242,22.087923049926758,2.2929484844207764,62.93050765991211,23.429292678833008,127.30232238769531,108.98474884033203,53.45438766479492,170.85614013671875,96.41886138916016,33.528072357177734,55.85491943359375
2016-11-21,25.682231903076172,39.0,60.52416229248047,128.096435546875,89.95358276367188,115.58000183105469,38.895111083984375,88.2260971069336,60.450469970703125,54.40676498413086,22.138254165649414,2.283616304397583,63.421669006347656,23.57239532470703,128.12005615234375,109.71259307861328,53.29182815551758,172.1162872314453,97.14559936523438,33.82757568359375,56.647422790527344
2016-11-22,25.698318481445312,39.26649856567383,60.57640075683594,129.36749267578125,90.02731323242188,115.54000091552734,38.905025482177734,86.49227142333984,60.822227478027344,54.639198303222656,22.206539154052734,2.3000714778900146,63.513755798339844,23.779098510742188,129.6959686279297,110.52706909179688,54.22654342651367,172.4313201904297,97.42778015136719,33.992286682128906,56.7718620300293
2016-11-23,25.567304611206055,39.00600051879883,60.4195671081543,128.4608154296875,90.5340576171875,113.25,38.60765838623047,86.74544525146484,61.07780075073242,53.99555206298828,22.126554489135742,2.3113861083984375,63.452354431152344,23.763198852539062,130.78622436523438,111.14227294921875,53.99624252319336,172.5845489501953,97.56456756591797,33.83505630493164,56.929039001464844
2016-11-25,25.696022033691406,39.01850128173828,60.44197463989258,128.69805908203125,91.0500259399414,112.61000061035156,38.668617248535156,87.55863952636719,61.05458450317383,54.11175537109375,22.387968063354492,2.3160593509674072,64.05095672607422,23.58034896850586,130.16441345214844,111.51485443115234,54.307804107666016,173.27426147460938,97.94078826904297,33.969825744628906,57.06005096435547
2016-11-28,25.64545249938965,38.3385009765625,60.5838623046875,128.16421508789062,91.18824768066406,113.80000305175781,38.94416809082031,86.79147338867188,60.659568786621094,54.18328094482422,22.688396453857422,2.3148303031921387,63.75163269042969,23.58034896850586,129.5681915283203,110.40575408935547,54.55842971801758,172.45689392089844,97.37644958496094,33.8425407409668,56.634342193603516
2016-11-29,25.620168685913086,38.125999450683594,60.628726959228516,128.35911560058594,91.83320617675781,113.2699966430664,39.12507247924805,86.29281616210938,61.12428665161133,54.61238098144531,22.877626419067383,2.2936770915985107,63.61351776123047,23.49289321899414,134.23605346679688,110.44041442871094,55.0799560546875,172.72935485839844,97.51324462890625,34.007259368896484,56.26100540161133
2016-11-30,25.404094696044922,37.528499603271484,60.4195671081543,127.1982421875,91.3264389038086,111.75,38.453025817871094,85.38751220703125,62.09241485595703,53.870384216308594,22.284570693969727,2.2678494453430176,63.283504486083984,23.604196548461914,135.39479064941406,110.26712799072266,54.450050354003906,172.33766174316406,97.28243255615234,33.977317810058594,57.17793655395508
2016-12-01,25.16734504699707,37.182498931884766,60.195030212402344,128.57943725585938,91.16061401367188,111.54000091552734,37.88059616088867,85.44889831542969,63.34711837768555,52.92278289794922,22.034862518310547,2.155687093734741,62.823055267333984,22.697872161865234,137.63552856445312,109.79055786132812,53.65081024169922,171.66500854492188,96.88055419921875,33.8874626159668,57.138633728027344
2016-12-02,25.261587142944336,37.016998291015625,60.412052154541016,128.87600708007812,90.75520324707031,112.13999938964844,37.88703918457031,85.89387512207031,63.1999626159668,52.967491149902344,22.319686889648438,2.1756105422973633,63.23746871948242,22.944326400756836,137.4558868408203,109.92920684814453,54.18589782714844,171.78419494628906,96.88055419921875,33.977317810058594,57.00764846801758
